,자치구 이름,2014년 범죄 발생 건수,2015년 범죄 발생 건수,2016년 범죄 발생 건수,2017년 범죄 발생 건수,2018년 범죄 발생 건수,2019년 범죄 발생 건수,2020년 범죄 발생 건수,2021년 범죄 발생 건수,2022년 범죄 발생 건수,2023년 범죄 발생 건수,범죄 발생 빈도,cctv,경찰서 개수,소방서 개수,종합 안전/치안 점수,안전 치안 순위,평당 월세(만원),평당 전세(만원),2401 매매,2402 매매,2403 매매,2404 매매,2405 매매,2406 매매,2407 매매,2408 매매,2409 매매,2410 매매,2411 매매,2412 매매,2501 매매,1년전 매매가 차이,버스 이용 비율,지하철 이용 비율,택시 이용 비율,많이 이용한 대중교통,혼잡도 점수,도로 혼잡도,혼잡도 순위,top1_commercials,top2_commercials,top3_commercials,top4_commercials,top5_commercials,top1_count,top2_count,top3_count,top4_count,top5_count,문화체육시설 개수,문화시설 순위
1,강남구,8851,8617,8149,7720,7513,7304,7356,6146,6947,6763,높음,8352,19,7,0.661764706,2,4.318409533,3811.914225,6755.703019,7109.375737,7173.341678,7701.658976,7532.341612,8000.763208,8165.378652,8073.627648,7447.943509,8094.883985,7799.371371,7644.235124,6400.780999,-354.9220201,35.52,53.02,11.46,지하철,1.733714035,혼잡,1,음식점,기타 서비스,미용,전자기기,기타 소매업,247246,170195,130097,118059,102576,915,2
2,강동구,5392,5244,4462,4261,3919,4014,3788,3458,3711,3398,낮음,4238,10,7,0.532105888,9,2.196161552,2481.667777,3862.299712,4103.267836,3944.481871,4177.452293,4426.161901,4884.389545,4228.020159,4370.343036,4032.300224,3957.367092,4308.839965,4289.035186,3735.73181,-126.5679024,36.9,52.19,10.91,지하철,1.032604727,보통,15,음식점,전자기기,기타 서비스,미용,기타 소매업,95099,54143,53864,45157,37716,97,24
3,강북구,4030,4257,4229,3393,3437,3838,2770,2301,2832,2497,낮음,3584,13,5,0.470552482,18,4.054114146,1749.679321,1928.205588,2009.088519,2153.971673,2078.849847,2350.297146,2239.815129,2421.715805,2474.937507,2272.30903,2334.561454,2174.64986,2306.712256,1836.172264,-92.03332376,61.47,31.8,6.72,버스,1.581273473,혼잡,2,음식점,전자기기,기타 서비스,미용,식료품,72622,38925,31874,29663,24240,177,16
4,강서구,5289,5585,5450,5135,4629,4924,4415,3896,4663,4296,높음,3874,14,7,0.529430402,10,1.963670637,2212.015094,2429.401723,2586.694639,2629.406759,2651.14675,2731.224033,2820.942948,2933.74303,2725.087332,2675.827911,2691.615301,2618.94152,2610.54651,2801.40445,372.002727,41.39,49.88,8.73,지하철,1.359590593,혼잡,6,음식점,전자기기,기타 서비스,미용,식료품,120978,83163,69555,59690,51481,240,9
5,관악구,6781,6345,5678,5525,5026,5328,5261,4444,4879,4769,높음,6614,12,5,0.464516751,19,3.171645538,2047.155605,2804.084397,2562.976925,2651.013511,2471.689315,2630.110163,2819.845043,3005.385371,2892.30675,2833.385604,2631.312127,2569.360698,2810.200194,2672.805751,-131.2786458,49.32,45.39,5.3,버스,0.732353726,원활,21,음식점,기타 서비스,전자기기,미용,식료품,107412,56187,48622,40270,30198,191,15
6,광진구,6268,5909,5322,4646,3915,4011,3601,3087,3619,3424,보통,4636,13,4,0.403928595,24,3.182790795,2734.184677,3535.336797,3555.6296,3900.258277,3860.879709,3725.474791,4346.805495,4375.931926,4571.987345,4106.219689,4072.691157,4283.536372,4179.022446,4317.487512,782.1507157,31.19,59.16,9.65,지하철,1.275053475,보통,10,음식점,전자기기,기타 서비스,미용,기타 소매업,95684,60076,47357,38659,30872,176,17
7,구로구,5389,5646,5366,4895,4810,4707,4175,3486,3857,3737,보통,5694,14,7,0.633961826,4,1.839101773,1887.823155,2429.401723,2586.694639,2629.406759,2651.14675,2731.224033,2820.942948,2933.74303,2725.087332,2675.827911,2691.615301,2618.94152,2610.54651,2801.40445,372.002727,48.82,45.42,5.77,버스,0.650775606,원활,23,기타 소매업,음식점,전자기기,기타 서비스,미용,89216,86406,72222,45564,41758,216,11
8,금천구,3842,3781,3645,3265,3293,3105,2598,2439,2577,2240,낮음,3458,8,3,0.280053731,25,1.684903975,1792.359538,2507.405454,3300.176759,2642.774752,2697.346551,2443.833599,2479.160737,2801.105136,2743.198917,2367.466014,2294.825852,2446.238989,2236.362593,2222.851863,-284.5535907,63.13,29.71,7.16,버스,1.239929772,보통,11,전자기기,음식점,기타 소매업,기타 서비스,의류 및 액세서리,64027,63827,42102,36721,33071,113,22
9,노원구,5312,5130,4543,4209,4007,4153,3743,3425,3896,3567,보통,4105,10,6,0.455350469,21,1.993116436,1692.628082,2855.569839,2914.608943,2969.673165,2923.915901,2929.187284,3079.232678,3135.923641,3153.283999,2947.753242,3019.9217,3101.284993,3008.494135,2908.686985,53.11714542,42.46,48.66,8.89,지하철,0.882460345,원활,19,음식점,전자기기,미용,학원,기타 서비스,79174,53029,40665,40379,39540,276,6
10,도봉구,3124,2664,2438,1999,2249,2110,2179,1860,2141,1921,낮음,2808,10,5,0.423911183,22,1.998839228,1502.869064,2005.221801,1816.050804,2018.401842,2097.717803,2011.364313,2319.474621,2328.675969,2388.706691,2023.487229,2148.041704,2074.076919,2226.25176,1959.169624,-46.0521767,54.65,37.2,8.15,버스,0.811058854,원활,20,음식점,전자기기,미용,기타 서비스,식료품,55722,34526,25678,25349,21364,134,21
11,동대문구,4363,4720,4787,3975,3680,3692,3401,2959,3253,2957,낮음,3846,14,6,0.534900913,8,3.084822408,2195.396788,3153.063125,3448.205405,3407.208613,3547.324537,3369.7544,3775.281429,3854.12063,3745.693225,3659.163092,3263.926768,3888.583924,3609.690072,3736.269537,583.2064122,59.01,31.87,9.12,버스,0.912342371,원활,18,음식점,전자기기,식료품,기타 서비스,의류 및 액세서리,91577,56759,53822,41143,36467,105,23
12,동작구,3869,4074,3227,3330,3100,3400,3200,2631,2735,2642,낮음,3664,10,5,0.422274386,23,2.108254318,2592.676576,3966.460281,3921.70459,3969.503357,4379.047187,4127.635407,4661.940659,4643.22589,4425.564812,4007.902084,3984.367431,4317.813998,4488.137609,4283.857014,317.3967327,53.2,41.79,5.01,버스,1.487299624,혼잡,4,음식점,기타 서비스,전자기기,식료품,미용,76430,42382,39261,39223,30267,162,19
13,마포구,5740,5854,5873,5278,5172,4842,3688,3540,4096,3834,높음,3809,12,7,0.521169939,11,3.236106846,2996.241084,4136.22653,3980.397692,4435.453929,4528.256739,5064.817948,5101.312983,4906.672589,4787.570554,4519.402137,4399.512409,4556.251051,4466.814295,4111.010286,-25.2162441,38.44,53.33,8.23,지하철,0.461002237,원활,25,음식점,기타 서비스,전자기기,미용,기타 소매업,181175,81469,78133,58071,48328,367,5
14,서대문구,4194,4029,3665,3113,2802,2943,2533,2278,2374,2385,낮음,4218,11,5,0.473283006,17,2.226509747,2406.391087,3195.372406,3383.890722,3833.370442,3292.564103,3523.361689,3861.471304,4030.894358,3851.795252,3218.589835,3400.116555,3691.85095,4077.805196,3891.213893,695.8414873,63.25,29.95,6.79,버스,1.458027657,혼잡,5,음식점,전자기기,기타 서비스,미용,기타 소매업,80678,39492,39349,27353,25674,217,10
15,서초구,5558,5444,4989,4708,4726,5542,4601,3656,4459,4522,높음,6036,17,7,0.651767892,3,3.295860349,4068.578312,6181.998425,6313.888922,7365.803183,7015.702212,7815.911391,8896.528691,8121.96537,7801.022647,7122.110292,7089.893239,7024.566417,8097.782871,5625.389067,-556.6093577,38.09,54.48,7.43,지하철,1.350724268,혼잡,7,음식점,법률 서비스,기타 서비스,전자기기,기타 소매업,135421,96491,90465,86213,76790,413,4
16,성동구,3582,3358,3026,2767,2457,2512,2362,2112,2194,2023,낮음,4638,11,5,0.509435795,14,3.030684948,2980.349216,5351.580041,5104.283683,5574.772736,5493.368756,5752.913909,5948.458139,6368.931398,5624.579517,5876.858071,5663.667026,5574.142683,5353.897585,5435.374542,83.79450042,32.84,58.77,8.39,지하철,1.114409504,보통,13,음식점,전자기기,식료품,기타 서비스,미용,82029,56162,54285,40106,29678,172,18
17,성북구,4606,4154,3744,3434,3042,2877,2567,2411,2749,2411,낮음,4906,16,5,0.574074687,6,2.392961452,2151.044391,3115.04667,3164.584019,2975.511651,3165.35062,3164.970493,3595.663145,3465.000335,3324.311749,3225.421544,3030.280738,3008.622474,3002.433538,2910.689642,-204.3570281,60.23,33.53,6.24,버스,1.072127159,보통,14,음식점,전자기기,기타 서비스,미용,의류 및 액세서리,85927,52508,43886,35807,28735,251,8
18,송파구,8004,6778,6090,5576,5807,5698,5410,4714,5167,5223,높음,4665,14,7,0.514455027,13,2.251284207,3064.433181,4937.813772,5349.426285,5194.63555,5213.881116,5367.423949,5819.808664,6011.122109,5426.372988,4962.947709,5120.963563,5586.447132,5511.699077,5321.329413,383.5156406,36.36,53.91,9.73,지하철,0.714780577,원활,22,음식점,식료품,전자기기,기타 서비스,미용,150496,119752,92366,89882,70568,255,7
19,양천구,4642,4528,4112,3882,3515,3214,3216,3015,3169,3019,낮음,4854,10,6,0.514785424,12,1.384845398,2493.568114,3347.936885,3548.471099,3556.899106,3528.111831,3606.332842,4073.519056,4226.028118,4031.162012,3861.306859,3609.770566,4017.178721,3895.069957,3756.222099,408.2852142,55.52,36.5,7.98,버스,0.483218108,원활,24,음식점,학원,전자기기,기타 서비스,미용,70754,49433,45654,43541,38970,205,13
20,영등포구,7003,6867,6322,5969,5840,5820,5217,4179,4819,4418,높음,5133,13,6,0.498270389,15,2.505941884,2454.601052,3901.787382,3877.10073,3740.000268,4356.381379,4401.443394,4437.368895,4522.811719,4212.104105,5094.608445,4437.458649,4477.731955,4274.502027,4176.039216,274.2518338,39.34,51.68,8.97,지하철,0.913341986,원활,17,음식점,전자기기,기타 서비스,기타 소매업,식료품,141407,72157,65698,56023,49118,206,12
21,용산구,3799,3820,4137,4060,3411,3313,2969,2381,2967,3021,낮음,3609,12,6,0.492331078,16,3.128617522,3006.407287,6196.606826,6349.606919,6532.101236,6204.638348,6299.861938,6841.334034,6724.721853,7067.634353,6379.627144,6465.803549,6806.047137,6595.514045,4917.774617,-1278.832209,50.45,37.15,12.4,버스,1.025167654,보통,16,음식점,전자기기,기타 서비스,기타 소매업,의류 및 액세서리,101047,98994,39552,34791,33835,196,14
22,은평구,5431,4745,4501,3883,3590,3880,3390,3244,3487,3493,보통,5683,15,5,0.535808466,7,1.977716595,2122.906426,2697.661294,2535.880346,2686.694137,2745.164334,2772.605022,2966.680758,3096.320386,2900.825133,2700.202799,2621.86876,2669.193154,2474.435596,2652.148048,-45.51324606,52.09,41.04,6.86,버스,1.548340969,혼잡,3,음식점,전자기기,기타 서비스,미용,기타 소매업,86630,53525,50599,42302,30605,95,25
23,종로구,5021,4705,4459,4057,3690,3846,3102,2712,3138,2981,낮음,2339,25,7,0.695270549,1,3.337163181,2753.272601,3253.385139,2855.881201,3265.720067,3228.879067,4011.39321,3906.150739,4027.478615,3332.777838,3480.367593,3178.405187,3455.495223,2861.189054,2605.190874,-648.1942646,40.79,53.45,5.76,지하철,1.328065587,혼잡,8,음식점,기타 소매업,의류 및 액세서리,기타 서비스,전자기기,131216,123811,66647,55597,42657,980,1
24,중구,5231,4954,4584,4184,4030,4327,3411,2861,3071,3348,낮음,3118,18,7,0.60576875,5,3.858064172,2733.983897,3983.564411,3696.70939,4128.893126,4653.040055,4084.886151,4558.281914,4555.177774,4428.55888,3856.869952,4401.257955,4588.326967,4578.814436,4180.284515,196.7201037,26.15,67.36,6.49,지하철,1.280238984,보통,9,의류 및 액세서리,음식점,기타 소매업,기타 서비스,전자기기,372775,119341,73920,54337,54229,610,3
25,중랑구,5353,5193,5041,4571,4288,4268,3726,3210,3599,3324,낮음,5392,10,5,0.458906001,20,2.288717911,1817.7917,2626.220716,2669.802414,2788.335179,2767.384891,2832.501359,2825.060049,2961.314348,3032.62417,2843.829928,2840.274886,2870.5696,2890.166775,2709.574949,83.35423323,52.42,37.29,10.28,버스,1.182546723,보통,12,음식점,전자기기,기타 서비스,미용,식료품,79481,48928,39734,35171,29073,154,20